State,Party_Affiliation,Electoral_Votes,aggregate,Party_Affiliation2
Alabama,Solid Republican,9,535 Total Electoral Votes,Solid Republican - 67 Total Votes
Alaska,Solid Republican,3,535 Total Electoral Votes,Solid Republican - 67 Total Votes
Arizona,Competitive,11,535 Total Electoral Votes,Competitive - 199 Total Votes
Arkansas,Lean Republican,6,535 Total Electoral Votes,Lean Republican - 85 Total Votes
California,Solid Democrat,55,535 Total Electoral Votes,Solid Democrat - 162 Total Votes
Colorado,Competitive,9,535 Total Electoral Votes,Competitive - 199 Total Votes
Connecticut,Solid Democrat,7,535 Total Electoral Votes,Solid Democrat - 162 Total Votes
Delaware,Lean Democrat,3,535 Total Electoral Votes,Lean Democrat - 22 Total Votes
Florida,Competitive,29,535 Total Electoral Votes,Competitive - 199 Total Votes
Georgia,Competitive,16,535 Total Electoral Votes,Competitive - 199 Total Votes
Hawaii,Solid Democrat,4,535 Total Electoral Votes,Solid Democrat - 162 Total Votes
Idaho,Solid Republican,4,535 Total Electoral Votes,Solid Republican - 67 Total Votes
Illinois,Solid Democrat,20,535 Total Electoral Votes,Solid Democrat - 162 Total Votes
Indiana,Lean Republican,11,535 Total Electoral Votes,Lean Republican - 85 Total Votes
Iowa,Competitive,6,535 Total Electoral Votes,Competitive - 199 Total Votes
Kansas,Solid Republican,6,535 Total Electoral Votes,Solid Republican - 67 Total Votes
Kentucky,Competitive,8,535 Total Electoral Votes,Competitive - 199 Total Votes
Louisiana,Competitive,8,535 Total Electoral Votes,Competitive - 199 Total Votes
Maine,Competitive,4,535 Total Electoral Votes,Competitive - 199 Total Votes
Maryland,Solid Democrat,10,535 Total Electoral Votes,Solid Democrat - 162 Total Votes
Massachusetts,Solid Democrat,11,535 Total Electoral Votes,Solid Democrat - 162 Total Votes
Michigan,Competitive,16,535 Total Electoral Votes,Competitive - 199 Total Votes
Minnesota,Competitive,10,535 Total Electoral Votes,Competitive - 199 Total Votes
Mississippi,Lean Republican,6,535 Total Electoral Votes,Lean Republican - 85 Total Votes
Missouri,Lean Republican,10,535 Total Electoral Votes,Lean Republican - 85 Total Votes
Montana,Solid Republican,3,535 Total Electoral Votes,Solid Republican - 67 Total Votes
Nebraska,Lean Republican,5,535 Total Electoral Votes,Lean Republican - 85 Total Votes
Nevada,Competitive,6,535 Total Electoral Votes,Competitive - 199 Total Votes
New Hampshire,Lean Republican,4,535 Total Electoral Votes,Lean Republican - 85 Total Votes
New Jersey,Solid Democrat,14,535 Total Electoral Votes,Solid Democrat - 162 Total Votes
New Mexico,Solid Democrat,5,535 Total Electoral Votes,Solid Democrat - 162 Total Votes
New York,Solid Democrat,29,535 Total Electoral Votes,Solid Democrat - 162 Total Votes
North Carolina,Competitive,15,535 Total Electoral Votes,Competitive - 199 Total Votes
North Dakota,Solid Republican,3,535 Total Electoral Votes,Solid Republican - 67 Total Votes
Ohio,Competitive,18,535 Total Electoral Votes,Competitive - 199 Total Votes
Oklahoma,Solid Republican,7,535 Total Electoral Votes,Solid Republican - 67 Total Votes
Oregon,Lean Democrat,7,535 Total Electoral Votes,Lean Democrat - 22 Total Votes
Pennsylvania,Competitive,20,535 Total Electoral Votes,Competitive - 199 Total Votes
Rhode Island,Solid Democrat,4,535 Total Electoral Votes,Solid Democrat - 162 Total Votes
South Carolina,Solid Republican,9,535 Total Electoral Votes,Solid Republican - 67 Total Votes
South Dakota,Solid Republican,3,535 Total Electoral Votes,Solid Republican - 67 Total Votes
Tennessee,Solid Republican,11,535 Total Electoral Votes,Solid Republican - 67 Total Votes
Texas,Lean Republican,38,535 Total Electoral Votes,Lean Republican - 85 Total Votes
Utah,Solid Republican,6,535 Total Electoral Votes,Solid Republican - 67 Total Votes
Vermont,Solid Democrat,3,535 Total Electoral Votes,Solid Democrat - 162 Total Votes
Virginia,Competitive,13,535 Total Electoral Votes,Competitive - 199 Total Votes
Washington,Lean Democrat,12,535 Total Electoral Votes,Lean Democrat - 22 Total Votes
West Virginia,Lean Republican,5,535 Total Electoral Votes,Lean Republican - 85 Total Votes
Wisconsin,Competitive,10,535 Total Electoral Votes,Competitive - 199 Total Votes
Wyoming,Solid Republican,3,535 Total Electoral Votes,Solid Republican - 67 Total Votes
